,bus_count,last_update,msg_count,segment_id,traffic
423,0,2013-02-11T23:50:32,0,374,-1
424,2,2013-01-18T23:50:32,10,510,21
425,1,2013-02-22T23:50:32,4,104,22
426,2,2014-12-16T23:50:32,10,221,32
427,0,2013-02-27T23:50:32,0,1264,-1
428,1,2014-11-25T23:50:32,7,426,14
429,0,2013-01-19T23:50:32,0,556,-1
430,0,2013-02-17T23:50:32,0,1266,-1
431,0,2014-12-04T23:50:32,0,177,-1
432,0,2013-01-16T23:50:32,0,945,-1
433,1,2013-02-13T23:50:32,2,602,32
434,2,2014-12-19T23:50:32,15,1225,19
435,0,2013-01-27T23:50:32,0,203,-1
436,1,2014-12-02T23:50:32,7,1257,21
437,1,2014-12-22T23:50:32,7,1105,21
438,0,2014-12-15T23:50:32,0,713,-1
439,0,2013-02-04T23:50:32,0,1299,-1
440,1,2014-12-24T23:50:32,6,408,19
441,2,2014-12-06T23:50:32,16,699,15
442,2,2014-12-12T23:50:32,8,230,34
443,0,2014-11-30T23:50:32,0,200,-1
444,1,2013-01-21T23:50:32,4,387,26
445,0,2013-01-25T23:50:32,0,173,-1
446,2,2013-02-14T23:50:32,13,878,8
447,1,2014-11-26T23:50:32,9,423,19
448,1,2014-12-14T23:50:32,4,377,19
449,0,2014-12-21T23:50:32,0,721,-1
450,0,2013-01-17T23:50:32,0,950,-1
451,1,2013-02-16T23:50:32,6,310,18
452,0,2013-02-10T23:50:32,0,136,-1
453,1,2013-01-29T23:50:32,8,705,29
454,1,2014-12-08T23:50:32,6,119,13
455,2,2013-01-26T23:50:32,23,1185,27
456,1,2014-11-25T23:50:32,3,1055,23
457,4,2014-12-23T23:50:32,16,430,23
458,2,2013-01-30T23:50:32,22,92,16
459,1,2014-12-08T23:50:32,5,1178,16
460,0,2014-12-13T23:50:32,0,12,-1
461,1,2014-12-04T23:50:32,6,1199,27
462,1,2013-02-27T23:50:32,5,851,14
463,0,2014-11-30T23:50:32,0,780,-1
464,0,2013-02-12T23:50:32,0,328,-1
465,1,2014-12-29T23:50:32,7,65,27
466,0,2014-12-10T23:50:32,0,1049,-1
467,0,2014-11-25T23:50:32,0,457,-1
468,0,2013-01-24T23:50:32,0,553,-1
469,1,2014-12-20T23:50:32,15,278,20
470,1,2013-02-26T23:50:32,1,612,47
471,0,2013-01-23T23:50:32,0,792,-1
472,0,2014-12-25T23:50:32,0,176,-1
473,1,2014-11-29T23:50:32,7,395,21
474,0,2013-01-21T23:50:32,0,294,-1
475,0,2013-01-24T23:50:32,0,300,-1
476,0,2013-01-15T23:50:32,0,387,-1
477,0,2014-12-20T23:50:32,0,421,-1
478,2,2014-12-06T23:50:32,10,161,18
479,2,2014-12-05T23:50:32,13,710,18
480,5,2014-12-06T23:50:32,31,244,20
481,2,2013-02-24T23:50:32,5,566,30
482,2,2013-02-27T23:50:32,12,712,26
483,0,2014-12-07T23:50:32,0,974,-1
484,1,2014-12-21T23:50:32,1,859,25
485,0,2014-12-03T23:50:32,0,823,-1
486,0,2013-02-04T23:50:32,0,721,-1
487,1,2014-12-13T23:50:32,4,696,16
488,1,2013-02-13T23:50:32,1,367,34
489,0,2014-12-25T23:50:32,0,1199,-1
490,1,2013-02-14T23:50:32,6,874,9
491,1,2014-12-23T23:50:32,3,535,27
492,1,2013-02-16T23:50:32,4,898,21
493,1,2014-11-26T23:50:32,9,800,12
494,0,2014-12-22T23:50:32,0,1037,-1
495,0,2014-12-02T23:50:32,0,304,-1
496,2,2013-01-26T23:50:32,9,1254,25
497,2,2013-01-18T23:50:32,16,303,20
498,2,2014-12-24T23:50:32,8,1280,31
499,1,2014-12-02T23:50:32,5,1255,16
500,0,2013-02-24T23:50:32,0,91,-1
501,0,2014-12-27T23:50:32,0,775,-1
502,1,2013-02-20T23:50:32,8,271,19
503,0,2014-12-25T23:50:32,0,1060,-1
504,0,2013-02-23T23:50:32,0,753,-1
505,3,2013-01-22T23:50:32,28,395,24
506,0,2014-12-16T23:50:32,0,194,-1
507,1,2013-01-26T23:50:32,5,1204,14
508,0,2013-01-24T23:50:32,0,24,-1
509,2,2013-02-14T23:50:32,19,1082,1
510,0,2014-12-07T23:50:32,0,830,-1
511,0,2013-02-16T23:50:32,0,825,-1
512,1,2013-01-30T23:50:32,2,608,54
